nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,country
0,5447120,Sibeeria Brewery,All You Need is Oak,Stout - Imperial / Double,https://untappd.com/b/sibeeria-all-you-need-is-oak/5447120,14.0,N/A,4.23,1155,07/16/23,"Whisky BA Imperial Stout, 36° Plato, 14% ABV. Tohle je nejmohutnější pivo, co jsme doposud uvařili. Třicetšestka, které trávila 17 měsíců v několika čerstvých barelech po lokální whisky, dokud jsme nebyli přesvědčeni, že chutná přesně podle našich představ. Z téhle krémově husté, černočerné kapaliny přímo leze podmanivé aroma karamelu, mléčné čokolády a vanilky. Zbytkový cukr precizně vyvažuje vyšší obsah alkoholu s jemnou taninovou strukturou z dlouhého zrání ve dřevě. Cíleně jsme se vyhnuli jakýmkoliv obvyklým ochucovadlům, abychom ukázali, jak může chutnat čistý stout, když dostane dostatek času v těch správných podmínkách.This is the biggest beer we’ve brewed thus far. The 36-plato thick stout spent almost 17 months in several super-fresh locally sourced whisky barrels until we felt they are just where we want them to be. Luscious, thick, blackest black kind of liquid presents the overpowering aroma of dark caramel, milk chocolate and vanilla. Residual sugars are tightly balanced with high alcohol content and light tannic structure from the long wood ageing. Strictly avoiding any adjuncts, we wanted this beer to be a pure expression of what a big stout can be when you give it enough time in the right conditions. ",czech-republic
1,4582782,Pivovar ZICHOVEC,Coconut Vanilla Cacao Stout 2021,Stout - Imperial / Double,https://untappd.com/b/pivovar-zichovec-coconut-vanilla-cacao-stout-2021/4582782,14.5,N/A,4.22,825,11/06/21,"Pro naše kakaovo-vanilkové barelové pivo jsme vytvořili blend z 18 měsíců stařených stoutů z bourbonových sudů s jemnějším charakterem, které slouží jako základ pro přídavek kakaa, kakaových bobů a vanilky. Vzniká tak velmi hřejivý zážitek s komplexní chutí, která se skvěle pojí s dřevitým charakterem sudů.For our cocoa-vanilla barrel-aged beer we blended several of our 18 months bourbon barrel aged stouts that developed a softer character, providing a great base for addition of cacao, cocoa nibs and vanilla beans. So came to be a warming sensation with complex flavour, that well compliments the woody properties given by the barrels. ",czech-republic
2,4658602,Pivovar ZICHOVEC,Peanut Cacao Stout 2021,Stout - Imperial / Double Pastry,https://untappd.com/b/pivovar-zichovec-peanut-cacao-stout-2021/4658602,14.5,N/A,4.17,739,12/28/21,"This year’s experiment is the first time we ever used peanut flour in beer. For this creation we choose some of the smoother stouts from this year’s 18 months aged bourbon barrels, so that the peanut flavour really comes forward. As a companion to peanuts we reached after cocoa nibs, that adds to the complexity of the base stout. Illustrations for our barrels series are made by indie artists, so that the quality of the packaging reflects the quality of the beers. Label artist is David Mazanec. ",czech-republic
3,5494951,Pivovar ZICHOVEC,Coconut Stout 2023,Stout - Imperial / Double,https://untappd.com/b/pivovar-zichovec-coconut-stout-2023/5494951,14.5,N/A,4.16,664,08/21/23,"Coconut Stout se vrací každý rok a každý rok ztělesňuje naší posedlost extrakcí kvalitního kokosu. Pro tento blend dvouletých stoutů vybíráme ty hořčí a drsnější barely, ty jsou pak po přidání obrovské množství praženého kokosu zjemněny a výsledek je tak vyvážený. Etiketu pro Coconut Stout už dělá po třetí Mára Čmára.Coconut Stout returns year after year, embodying our obsession with extracting quality coconut. For this blend of two-year-old stouts, we choose the bitterest and harshest barrels, which are then softened after adding a huge amount of roasted coconut, and the result is thus very balanced. This is the third time Mára Čmára is making the label for Coconut Stout. ",czech-republic
4,3878579,Pivovar ZICHOVEC,Stout Coconut – Barrel Project,Stout - Imperial / Double,https://untappd.com/b/pivovar-zichovec-stout-coconut-barrel-project/3878579,14.5,N/A,4.16,376,07/18/20,18 months bourbon barrel aged. Coconut added. ,czech-republic
5,3889152,Pivovar ZICHOVEC,Stout Coffee + Maple Syrup – Barrel Project,Stout - Imperial / Double Coffee,https://untappd.com/b/pivovar-zichovec-stout-coffee-maple-syrup-barrel-project/3889152,13.0,N/A,4.16,465,07/25/20,stout aged 18 months in burbon barrels than conditioned on coffee from Doubleshot and maple syrup from canada ,czech-republic
6,3572075,Métaphore,Here And Now: Apricot,Wild Ale - Other,https://untappd.com/b/metaphore-here-and-now-apricot/3572075,7.2,N/A,4.13,941,12/09/19,"Coolshipped and spontaneously fermented beer in an oak barrel for 16 months and aged further on organic local apricots for 12 months. Again, different and unique barrel with distinct and standalone character. In this one I am trying to capture the unique essence of one day into a beer and imprint of local terroir and layering the hand picked apricots from a local orchard. Multiple old varieties of apricots give a really complex expression of the fruit and prolonged aging make for a deep, rich flavour. The backbone of a beer is again built on local organic barley malt and raw organic spelt from the local Hare Krishna community, where they live and function in a low intervention and organic way for the last 3 decades. ",czech-republic
7,5971829,Pivovar ZICHOVEC,Coconut Tiramisu Barley + Wheat Wine 2024,Barleywine - Other,https://untappd.com/b/pivovar-zichovec-coconut-tiramisu-barley-wheat-wine-2024/5971829,12.0,N/A,4.13,776,09/05/24,"Tento blend dvou sudů ječného a dvou sudů pšeničného vína jsme po 30 měsících ve dřevě nablendovali do jednoho tanku a ochutili kokosem, a amarettem tak abychom přiblížili chuť italského dezertu Tiramisu. Fotografii na etiketu nám poskytl jirkovský fotograf Jakub Soukup.This blend of two barrels of barley wine and two barrels of wheat wine was blended into one tank after 30 months in wood and flavored with coconut and amaretto to bring it close to the flavour of the Italian dessert Tiramisu. The photography for the label was provided by Jakub Soukup, a photographer from our town of Jirkov. ",czech-republic
8,4498071,Pivovar ZICHOVEC,Coffee Maple Syrup Stout 2021,Stout - Imperial / Double Coffee,https://untappd.com/b/pivovar-zichovec-coffee-maple-syrup-stout-2021/4498071,14.5,N/A,4.13,780,09/10/21,"Po osmnácti měsících ležení jsme vybrali bourbon barely pro blend, do kterého přijde javorový sirup a káva z naší spřátelené pražírny Doubleshot. Výsledný stout je jemný, sladší, s lehkým kávovým aroma. Jasná krbová záležitost, která vás zahřeje ve studených měsících.After 18 months of maturing, we chose specific barrels for a blend that will well encapsulate the addition of maple syrup and coffe from our favorit Prague-based roastery Doubleshot. The resulting stout is sweeter with a mild coffe character. A great fireplace drink to accompany you through the cold winter months. ",czech-republic
9,4496677,Sibeeria Brewery,Dark Ritual,Stout - Imperial / Double,https://untappd.com/b/sibeeria-dark-ritual/4496677,11.6,N/A,4.11,3161,09/09/21,"Hazelnut, Vanilla & Cocoa Imperial Stout, 30° Plato, 11.6% ABV. Vaření Imperial Stoutu je vždycky svým způsobem rituál – začíná se velmi brzy ráno s nekonečným množstvím sladu, pokračuje se bolestivě pomalým procesem scezování a pak dlouhým varem končícím pozdě v noci. Po pečlivém kvašení ho necháváme měsíce ležet v tanku, a když máme pocit, že je dostatečně hladký, přidáme třešničku na dortu. Tou jsou lískové ořechy podpořené špetkou vanilky a kakaa. Stvořili jsme robustní 11% smetanově černý Stout, která chutná jako jemné pralinky z té nejtmavší čokolády. Hořký závěr, žádná laktóza, žádná ulepená sladkost - jen mnoho různých sladů a okultní umění vaření v dokonalé harmonii.Brewing Imperial Stout is always a kind of ritual here - starting early in the morning with mountains of grain, stretching through painfully slow lautering process and endless boil ending late at night. After careful fermentation we lager it for months and when we feel it’s smooth enough, we add the finishing touch. We thought this one might work nicely with some hazelnuts supported with a dose of vanilla and cocoa. What we got is a robust 11% pitch-black brew tasting like fine pralines from the darkest possible chocolate. Bitter finish, no lactose, no cloying sweetness, just 10+ different malts and the occult art of brewing in perfect harmony. ",czech-republic
10,6576611,Pivovar ZICHOVEC,Winter Affair Gossip: Vogelsang,Sour - Smoothie / Pastry,https://untappd.com/b/pivovar-zichovec-winter-affair-gossip-vogelsang/6576611,5.0,N/A,4.11,621,01/22/26,"Otevíráme novou sérii spoluprací Winter Affair Gossip 2026, kterou jsme odstartovali collabem s rakouským pivovarem Vogelsang – jedním z hostů letošního zichoveckého festivalu Winter Affair. A jak chutná naše první společné pivo? Jako ovocný zážitek v podobě ice cream souru – ale tentokrát úplně bez živočišných složek. Místo klasické laktózy jsme použili veganský zmrzlinový prášek, který dodává pivu krémovost a sladkost, a přitom zůstává plně vhodný i pro ty, kdo se laktóze vyhýbají. Základ tvoří kombinace malin, ostružin a černého rybízu, kterou doplňuje jemně zemitý tón červené řepy. Celý chuťový profil pak uzavírá sladká a aromatická tonka, která dodává kulatost a jemně kořeněný závěr. Výsledkem je pivo, které chutná jako dezert – sladké, kyselé, voňavé, s krásnou barvou a hladkou texturou. Není to pastry sour, ale má podobný efekt: potěší smysly a osladí život. A vegani si ho konečně můžou vychutnat naplno.  ",czech-republic
11,5670830,Sibeeria Brewery,Zima 2023,Barleywine - English,https://untappd.com/b/sibeeria-zima-2023/5670830,13.8,N/A,4.11,662,01/05/24,"Cognac BA English Barleywine, 36° Plato, 13.8% ABV. Pamatujete si naši loňskou Zimu? Uvedli jsme ji jen v limitovaném množství se špetkou ancho chilli, ale většinu várky jsme ukryli do čerstvých sudů po koňaku, ať tam dozraje. Po dlouhém odpočinku se vrací větší, silnější a intenzivnější. Sušené švestky a karamel původního anglického barleywine teď doplnily v aroma sušené rozinky, fíkový džem, dřevitá vanilka a jemné taniny. Ty ideálně vyvažují vyšší zbytkový cukr a hutnější tělo, které dodávají impozantní plnost a přechází do příjemně hřejivého závěru. Ideální pivo ke krbu. ",czech-republic
12,5409995,Pivovar ZICHOVEC,Stout Willett 2023,Stout - Imperial / Double,https://untappd.com/b/pivovar-zichovec-stout-willett-2023/5409995,14.5,N/A,4.1,510,06/20/23, ,czech-republic
13,4770914,Wild Creatures,Resurrection 2018,Lambic - Fruit,https://untappd.com/b/wild-creatures-resurrection-2018/4770914,12.7,N/A,4.1,648,03/26/22, ,czech-republic
14,4693660,Sibeeria Brewery,"Yummy Pink Guava, Peach, Passion Fruit & Vanilla",Sour - Smoothie / Pastry,https://untappd.com/b/sibeeria-yummy-pink-guava-peach-passion-fruit-and-vanilla/4693660,5.4,N/A,4.1,4560,01/28/22,"Pastry Sour Ale w/ Fruit, 22° Plato, 5.4% ABV. Tohle pivo je naším pokusem přivábit zpátky teplé počasí: zima už nám leze krkem, proto jsme si uvařili zatím nejexotičtější Yummy. Náš multivitamínový džus s trochou hřejivého alkoholu (než se to slunce vrátí) je spojením marakuji s růžovou guavou a trochou broskví, což ještě podtrhuje mexická vanilka. Finální výsledek je přímo definicí léta ve sklenici, která by se neztratila ani na stole se snídaní. Ne že bychom něco naznačovali, jenom informujeme.This Yummy is us trying to lure the warm weather back: sick already of the winter, we brewed our most exotic Yummy so far. The multi-vitamin juice with some warming alcohol content (for before the sun returns) combines passion fruit and pink guava with some peach, all highlighted by our favourite Mexican vanilla. The final blend is the very definition of summer in a glass and would not look inappropriate on a breakfast table. We’re not giving any hints here, just stating. ",czech-republic
